trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.5, 'e': 0.7675670726704799}",25,0,-91.48910336118733,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.764496804379798}",30,0,-55.37967651507458,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.7614388171622788}",20,0,-58.238696536897905,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.7583930618936296}",20,0,-38.206083887415936,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.7553594896460551}",20,0,-5.045514935794758,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.7523380516874709}",20,0,-49.45165148038078,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.749328699480721}",25,17,4.878408982958091,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.7463313846827981}",30,14,-64.08993541656979,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.7433460591440669}",35,4,-53.49875933811412,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.7403726749074907}",25,0,-37.8157863945704,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.7374111842078607}",35,0,-113.11245430731404,"{0: 24, 1: 4, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.7344615394710292}",20,0,-77.76757490773582,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.7315236933131452}",20,0,-50.77855888666458,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.7285975985398926}",20,0,-89.44826668255116,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.725683208145733}",25,0,-104.5449548289536,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.72278047531315}",20,0,-70.58788007040383,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.7198893534118974}",20,0,-33.596481605241244,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.7170097959982499}",20,0,-43.221961091950774,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
