trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'a': 0.5, 'e': 0.336155368337031}",25,13,-21.483526749243453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.33481074686368295}",20,5,-30.254427675882667,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
274,False,"{'a': 0.5, 'e': 0.3334715038762282}",20,0,-16.35632331519337,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
275,False,"{'a': 0.5, 'e': 0.33213761786072327}",20,10,15.053640522802496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.3308090673892804}",35,12,34.195874461042656,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.32948583111972324}",20,14,11.685155502457171,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.32816788779524436}",20,11,18.841647456099807,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.3268552162440634}",20,11,1.5166635054253348,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.3255477953790871}",25,0,14.169800455946291,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
281,False,"{'a': 0.5, 'e': 0.3242456041975708}",35,21,1.9179851015333713,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.3229486217807805}",20,2,-21.66618991006156,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.32165682729365735}",25,18,15.876781053369903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.32037019998448274}",20,4,4.204725631558021,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.3190887191845448}",20,10,-27.572208544987806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.3178123643078066}",20,8,-43.70204426389755,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
287,False,"{'a': 0.5, 'e': 0.3165411148505754}",20,0,-26.511128762425724,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.3152749503911731}",20,13,-11.963042251686655,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.3140138505896084}",20,9,-18.565296070836183,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.5, 'e': 0.31275779518725}",20,11,8.52078431437899,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.31150676400650096}",30,0,-25.569224550643057,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.31026073695047496}",20,10,13.045182403269434,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.30901969400267304}",25,3,10.355623171242026,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.30778361522666237}",20,5,11.858856801992937,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.3065524807657557}",30,13,20.952066669413966,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.3053262708426927}",30,11,-54.40979550109067,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
297,False,"{'a': 0.5, 'e': 0.30410496575932194}",20,15,-3.596410525588772,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.3028885458962846}",25,17,4.939157194198076,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.3016769917126995}",20,16,7.393590164318408,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.3004702837458487}",20,0,-27.365178427849774,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
301,False,"{'a': 0.5, 'e': 0.2992684026108653}",20,0,-130.11132541099408,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
302,False,"{'a': 0.5, 'e': 0.2980713290004218}",25,12,-42.11188350943541,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
303,False,"{'a': 0.5, 'e': 0.29687904368442014}",20,4,0.35481732456141546,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.2956915275096825}",30,8,0.8031135233554758,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
